date,match,WON,type,rating,promotion,event,participants
28.08.2021,Chik Tormenta vs. Diamante      vs. Kylie Rae,,Three Way,5.13,National Wrestling Alliance,NA,"Chik Tormenta, Diamante, Kylie Rae"
15.09.2021,Dustin Rhodes vs. QT Marshall,,Singles,5.13,All Elite Wrestling,NA,"Dustin Rhodes, QT Marshall"
05.01.2022,Junta Miyawaki & Yasutaka Yano vs. Kai Fujimura & Kinya Okada,,Tag Team,5.13,Pro Wrestling NOAH,NA,"Junta Miyawaki, Yasutaka Yano, Kai Fujimura, Kinya Okada"
06.02.2022,Koguma vs. Ruaka,,Singles,5.13,World Wonder Ring Stardom,NA,"Koguma, Ruaka"
14.07.2019,Kofi Kingston vs. Samoa Joe,**1/2,Singles,5.13,World Wrestling Entertainment,WWE Extreme Rules 2019,"Kofi Kingston, Samoa Joe"
26.03.2021,Flip Gordon vs. Mark Briscoe,**3/4,Singles,5.13,Ring Of Honor,ROH 19th Anniversary Show,"Flip Gordon, Mark Briscoe"
15.12.2021,Great-O-Khan & Jeff Cobb vs. SANADA & Tetsuya Naito,**1/2,Tag Team,5.13,New Japan Pro Wrestling,NJPW Best Of The Super Junior XXVIII & World Tag League 2021 - Tag 12,"Great-O-Khan, Jeff Cobb, SANADA, Tetsuya Naito"
03.05.2021,AJ Styles & Omos vs. Kofi Kingston & Xavier Woods,,Tag Team,5.12,World Wrestling Entertainment,NA,"AJ Styles, Omos, Kofi Kingston, Xavier Woods"
28.05.2021,Dolph Ziggler & Robert Roode vs. Dominik Mysterio,,Two On One Handicap,5.12,World Wrestling Entertainment,NA,"Dolph Ziggler, Robert Roode, Dominik Mysterio"
29.09.2021,Jade Cargill vs. Nyla Rose vs. Thunder Rosa,,Three Way,5.12,All Elite Wrestling,NA,"Jade Cargill, Nyla Rose, Thunder Rosa"
08.01.2022,Himeka vs. Koguma vs. Lady C,,Three Way,5.12,World Wonder Ring Stardom,NA,"Himeka, Koguma, Lady C"
03.06.1991,Hulk Hogan vs. Sgt. Slaughter,,Desert Storm,5.11,World Wrestling Federation,NA,"Hulk Hogan, Sgt. Slaughter"
30.08.1993,Irwin R. Schyster vs. The 1-2-3 Kid,,Singles,5.11,World Wrestling Federation,NA,"Irwin R. Schyster, The 1-2-3 Kid"
16.12.1990,Beautiful Bobby vs. The Z-Man,,Singles,5.11,World Championship Wrestling,NA,"Beautiful Bobby, The Z-Man"
07.07.1990,Jimmy Garvin & Michael Hayes vs. Rick Steiner & Scott Steiner,,Tag Team,5.11,World Championship Wrestling,NA,"Jimmy Garvin, Michael Hayes, Rick Steiner, Scott Steiner"
04.11.2020,"Austin Gunn, Billy & Cody  vs. Colt Cabana, John Silver & Ten",,Six Man Tag Team,5.11,All Elite Wrestling,NA,"Austin Gunn, Billy, Cody, Colt Cabana, John Silver, Ten"
04.12.2020,Great-O-Khan & Jeff Cobb vs. Tama Tonga & Tanga Loa,,Tag Team,5.11,New Japan Pro Wrestling,NA,"Great-O-Khan, Jeff Cobb, Tama Tonga, Tanga Loa"
11.08.2015,Hiroyoshi Tenzan vs. Katsuyori Shibata,***1/4,Singles,5.53,New Japan Pro Wrestling,NJPW G1 Climax 25 - Tag 15,"Hiroyoshi Tenzan, Katsuyori Shibata"
07.03.2021,Cody Rhodes vs. Ethan Page vs. Lance Archer vs. Max Caster vs. Penta El Zero Miedo vs. Scorpio Sky,***3/4,Ladder,5.53,All Elite Wrestling,AEW Revolution 2021,"Cody Rhodes, Ethan Page, Lance Archer, Max Caster, Penta El Zero Miedo, Scorpio Sky"
25.08.2008,CM Punk vs. John Bradshaw Layfield,,Singles,5.52,World Wrestling Entertainment,NA,"CM Punk, John Bradshaw Layfield"
29.07.2020,Bobby Fish & Kyle O'Reilly vs. Fabian Aichner & Marcel Barthel,,Tag Team,5.52,World Wrestling Entertainment,NA,"Bobby Fish, Kyle O'Reilly, Fabian Aichner, Marcel Barthel"
03.12.2020,"Eddie Kingston, The Blade      & The Butcher      vs. Lance Archer, Penta El Zero Miedo & Rey Fenix  ",,Six Man Tag Team,5.52,All Elite Wrestling,NA,"Eddie Kingston, The Blade, The Butcher, Lance Archer, Penta El Zero Miedo, Rey Fenix"
17.04.2021,Arisu Endo & Moka Miyamoto vs. Marika Kobashi & Sena Shiori,,Tag Team,5.52,Tokyo Joshi Pro-Wrestling,NA,"Arisu Endo, Moka Miyamoto, Marika Kobashi, Sena Shiori"
05.05.2021,Anthony Bowens & Max Caster vs. Brian Pillman Jr. & Griff Garrison vs. Christopher Daniels & Frankie Kazarian vs. Jungle Boy  & Luchasaurus,,Four Way Tag Team,5.52,All Elite Wrestling,NA,"Anthony Bowens, Max Caster, Brian Pillman Jr., Griff Garrison, Christopher Daniels, Frankie Kazarian, Jungle Boy, Luchasaurus"
23.08.2021,Carmelo Hayes vs. Odyssey Jones,,Singles,5.52,World Wrestling Entertainment,NA,"Carmelo Hayes, Odyssey Jones"
08.09.2021,"Dr. Britt Baker DMD, Jamie Hayter & Rebel     vs. Kris Statlander, Riho & Ruby Soho",,Six Man Tag Team,5.52,All Elite Wrestling,NA,"Dr. Britt Baker DMD, Jamie Hayter, Rebel, Kris Statlander, Riho, Ruby Soho"
03.10.2021,Daisuke Harada & Junta Miyawaki vs. HAYATA & Yoshinari Ogawa,,Tag Team,5.52,Pro Wrestling NOAH,NA,"Daisuke Harada, Junta Miyawaki, HAYATA, Yoshinari Ogawa"
07.02.2022,Riddle vs. Seth Rollins,,Singles,5.52,World Wrestling Entertainment,NA,"Riddle, Seth Rollins"
18.12.2011,Epico & Primo vs. Evan Bourne & Kofi Kingston,***1/4,Tag Team,5.52,World Wrestling Entertainment,"WWE TLC: Tables, Ladders & Chairs 2011","Epico, Primo, Evan Bourne, Kofi Kingston"
16.06.2013,John Cena vs. Ryback,***1/4,Three Stages Of Hell,5.52,World Wrestling Entertainment,WWE Payback 2013,"John Cena, Ryback"
15.05.2015,Adam Page & BJ Whitmer vs. Beretta & Rocky Romero vs. Christopher Daniels & Frankie Kazarian,***1/4,Three Way Tag Team,5.52,Ring Of Honor,ROH/NJPW Global Wars 2015 - Tag 1,"Adam Page, BJ Whitmer, Beretta, Rocky Romero, Christopher Daniels, Frankie Kazarian"
03.11.2018,David Finlay & Hiroshi Tanahashi vs. Kenny Omega & Kota Ibushi,***1/4,Tag Team,5.52,New Japan Pro Wrestling,NJPW Power Struggle 2018 ~ Super Junior Tag League 2018,"David Finlay, Hiroshi Tanahashi, Kenny Omega, Kota Ibushi"
08.03.2020,Angelo Dawkins & Montez Ford vs. Murphy  & Seth Rollins,***,Tag Team,5.52,World Wrestling Entertainment,WWE Elimination Chamber 2020,"Angelo Dawkins, Montez Ford, Murphy, Seth Rollins"
25.04.2021,David Finlay & Juice Robinson vs. Doc Gallows & Karl Anderson,***,Tag Team,5.52,Impact Wrestling,Impact Wrestling Rebellion 2021,"David Finlay, Juice Robinson, Doc Gallows, Karl Anderson"
25.04.2021,"Chris Sabin, Eddie Edwards, James Storm & Willie Mack vs. Deaner, Joe Doering, Rhino & W. Morrissey",***,Eight Man Tag Team,5.52,Impact Wrestling,Impact Wrestling Rebellion 2021,"Chris Sabin, Eddie Edwards, James Storm, Willie Mack, Deaner, Joe Doering, Rhino, W. Morrissey"
19.11.2020,Anna Jay vs. Hikaru Shida,,Singles,5.51,All Elite Wrestling,NA,"Anna Jay, Hikaru Shida"
13.07.2021,Dexter Lumis vs. Santos Escobar,,Singles,5.51,World Wrestling Entertainment,NA,"Dexter Lumis, Santos Escobar"
07.06.2021,"Chase Owens, El Phantasmo, EVIL, Taiji Ishimori & Yujiro Takahashi vs. Hirooki Goto, Hiroshi Tanahashi, SHO, Tomohiro Ishii & YOSHI-HASHI",**3/4,Ten Man Tag Team,5.51,New Japan Pro Wrestling,NJPW Dominion 6.6 In Osaka-Jo Hall,"Chase Owens, El Phantasmo, EVIL, Taiji Ishimori, Yujiro Takahashi, Hirooki Goto, Hiroshi Tanahashi, SHO, Tomohiro Ishii, YOSHI-HASHI"
22.02.1997,Chris Candido vs. Sabu,,Singles,5.50,Extreme Championship Wrestling,NA,"Chris Candido, Sabu"
29.01.2010,Austin Aries vs. Jushin Thunder Liger,,Singles,5.50,Ring Of Honor,NA,"Austin Aries, Jushin Thunder Liger"
23.06.2020,Eddie Edwards vs. Madman Fulton,,Singles,5.50,Impact Wrestling,NA,"Eddie Edwards, Madman Fulton"
27.06.2020,Bobby Lashley vs. Ricochet,,Singles,5.50,World Wrestling Entertainment,NA,"Bobby Lashley, Ricochet"
04.01.2020,Killer Kross vs. Tony Deppen,,Singles,5.50,ICW No Holds Barred,NA,"Killer Kross, Tony Deppen"
17.07.2020,Asuka & Nikki Cross vs. Bayley & Sasha Banks,,Tag Team,5.50,World Wrestling Entertainment,NA,"Asuka, Nikki Cross, Bayley, Sasha Banks"
11.07.2004,Batista vs. Chris Jericho,,Singles,5.50,World Wrestling Entertainment,NA,"Batista, Chris Jericho"
29.01.2020,Angelico & Jack Evans vs. Frankie Kazarian & Scorpio Sky,,Tag Team,5.50,All Elite Wrestling,NA,"Angelico, Jack Evans, Frankie Kazarian, Scorpio Sky"
05.02.2020,Jon Moxley vs. Ortiz ,,Singles,5.50,All Elite Wrestling,NA,"Jon Moxley, Ortiz"
14.08.2011,Mark Henry vs. Sheamus,,Singles,5.50,World Wrestling Entertainment,NA,"Mark Henry, Sheamus"
14.03.2004,Kane vs. The Undertaker,,Singles,5.50,World Wrestling Entertainment,NA,"Kane, The Undertaker"
23.11.1989,"Bret Hart, Hercules, Jim Duggan & Ronnie Garvin vs. Dino Bravo, Earthquake, Greg Valentine & Randy Savage",,Survivor Series Elimination,5.50,World Wrestling Federation,NA,"Bret Hart, Hercules, Jim Duggan, Ronnie Garvin, Dino Bravo, Earthquake, Greg Valentine, Randy Savage"
07.12.1987,Boris Zhukov & Nikolai Volkoff vs. Rick Martel & Tito Santana,,Best Two Out Of Three Falls,5.50,World Wrestling Federation,NA,"Boris Zhukov, Nikolai Volkoff, Rick Martel, Tito Santana"
14.04.2008,Beth Phoenix vs. Mickie James,,Singles,5.50,World Wrestling Entertainment,NA,"Beth Phoenix, Mickie James"
05.02.1988,Randy Savage vs. The Honky Tonk Man,,Singles,5.50,World Wrestling Federation,NA,"Randy Savage, The Honky Tonk Man"
02.10.1995,Lex Luger vs. Randy Savage,,Singles,5.50,World Championship Wrestling,NA,"Lex Luger, Randy Savage"
11.03.2020,Bea Priestley & Nyla Rose vs. Hikaru Shida & Kris Statlander,,Tag Team,5.50,All Elite Wrestling,NA,"Bea Priestley, Nyla Rose, Hikaru Shida, Kris Statlander"
02.04.1989,Akeem & The Big Boss Man vs. Marty Jannetty & Shawn Michaels,,Tag Team,5.50,World Wrestling Federation,NA,"Akeem, The Big Boss Man, Marty Jannetty, Shawn Michaels"
31.08.2020,Dominik Mysterio vs. Seth Rollins,,Singles,5.50,World Wrestling Entertainment,NA,"Dominik Mysterio, Seth Rollins"
04.07.2015,Nikki Bella vs. Paige vs. Tamina,,Triple Threat,5.50,World Wrestling Entertainment,NA,"Nikki Bella, Paige, Tamina"
31.03.1996,"Ahmed Johnson, Jake Roberts & Yokozuna vs. Owen Hart, The British Bulldog & Vader",,Six Man Tag Team,5.50,World Wrestling Federation,NA,"Ahmed Johnson, Jake Roberts, Yokozuna, Owen Hart, The British Bulldog, Vader"
26.01.2014,John Cena vs. Randy Orton,,Singles,5.50,World Wrestling Entertainment,NA,"John Cena, Randy Orton"
09.11.1997,Kane vs. Mankind,,Singles,5.50,World Wrestling Federation,NA,"Kane, Mankind"
17.08.2014,Jack Swagger vs. Rusev,,Flag,5.50,World Wrestling Entertainment,NA,"Jack Swagger, Rusev"
14.09.2020,Angelo Dawkins & Montez Ford vs. Cesaro & Shinsuke Nakamura,,Tag Team,5.50,World Wrestling Entertainment,NA,"Angelo Dawkins, Montez Ford, Cesaro, Shinsuke Nakamura"
14.10.2020,Yota Tsuji vs. Yuya Uemura,,Singles,5.50,New Japan Pro Wrestling,NA,"Yota Tsuji, Yuya Uemura"
19.10.2020,AJ Styles vs. Matt Riddle,,Singles,5.50,World Wrestling Entertainment,NA,"AJ Styles, Matt Riddle"
20.10.2020,"Chris Bey, Jordynne Grace & Rohit Raju vs. TJP, Trey  & Willie Mack",,Six Man Tag Team,5.50,Impact Wrestling,NA,"Chris Bey, Jordynne Grace, Rohit Raju, TJP, Trey, Willie Mack"
28.11.2020,EVIL & Yujiro Takahashi vs. Taichi & Zack Sabre Jr.,,Tag Team,5.50,New Japan Pro Wrestling,NA,"EVIL, Yujiro Takahashi, Taichi, Zack Sabre Jr."
30.11.2020,Cedric Alexander vs. Xavier Woods,,Singles,5.50,World Wrestling Entertainment,NA,"Cedric Alexander, Xavier Woods"
02.12.2020,Gabriel Kidd & Yota Tsuji vs. Satoshi Kojima & Tomoaki Honma,,Tag Team,5.50,New Japan Pro Wrestling,NA,"Gabriel Kidd, Yota Tsuji, Satoshi Kojima, Tomoaki Honma"
30.11.2020,Angel Garza vs. Humberto Carrillo,,Singles,5.50,World Wrestling Entertainment,NA,"Angel Garza, Humberto Carrillo"
05.12.2020,BUSHI vs. DOUKI,,Singles,5.50,New Japan Pro Wrestling,NA,"BUSHI, DOUKI"
09.12.2020,Cameron Grimes vs. Tommaso Ciampa,,Singles,5.50,World Wrestling Entertainment,NA,"Cameron Grimes, Tommaso Ciampa"
09.12.2020,Low Ki vs. Richard Holliday,,Singles,5.50,Major League Wrestling,NA,"Low Ki, Richard Holliday"
10.12.2020,Jordan Devlin vs. Oliver Carter,,Singles,5.50,World Wrestling Entertainment,NA,"Jordan Devlin, Oliver Carter"
12.12.2020,Danny Limelight & JR Kratos vs. Fred Rosser & Rocky Romero,,Tag Team,5.50,New Japan Pro Wrestling,NA,"Danny Limelight, JR Kratos, Fred Rosser, Rocky Romero"
16.12.2020,Chase Parker & Matt Martel  vs. Samir Singh & Sunil Singh,,Tornado Tag Team,5.50,World Wrestling Entertainment,NA,"Chase Parker, Matt Martel, Samir Singh, Sunil Singh"
23.11.1994,"Adam Bomb, Bart Gunn, Billy Gunn, Lex Luger & Mabel vs. Bam Bam Bigelow, Jimmy del Ray, King Kong Bundy, Tatanka & Tom Prichard",,Survivor Series Elimination,5.50,World Wrestling Federation,NA,"Adam Bomb, Bart Gunn, Billy Gunn, Lex Luger, Mabel, Bam Bam Bigelow, Jimmy del Ray, King Kong Bundy, Tatanka, Tom Prichard"
10.01.2021,Maki Ito vs. Sena Shiori,,Singles,5.50,Tokyo Joshi Pro-Wrestling,NA,"Maki Ito, Sena Shiori"
26.05.1996,Hunter Hearst Helmsley vs. Marc Mero,,Singles,5.50,World Wrestling Federation,NA,"Hunter Hearst Helmsley, Marc Mero"
20.01.2021,"Darius Martin, Daunte Martin & Matt Sydal vs. Isiah Kassidy, Marq Quen & Matt Hardy",,Six Man Tag Team,5.50,All Elite Wrestling,NA,"Darius Martin, Daunte Martin, Matt Sydal, Isiah Kassidy, Marq Quen, Matt Hardy"
07.03.1993,Bam Bam Bigelow vs. The Undertaker,,Singles,5.50,World Wrestling Federation,NA,"Bam Bam Bigelow, The Undertaker"
19.01.1991,Dustin Rhodes & Dusty Rhodes vs. Ted DiBiase & Virgil,,Tag Team,5.50,World Wrestling Federation,NA,"Dustin Rhodes, Dusty Rhodes, Ted DiBiase, Virgil"
03.02.2021,"EVIL, Jay White & Yujiro Takahashi vs. Kazuchika Okada, Tomohiro Ishii & Toru Yano",,Six Man Tag Team,5.50,New Japan Pro Wrestling,NA,"EVIL, Jay White, Yujiro Takahashi, Kazuchika Okada, Tomohiro Ishii, Toru Yano"
09.02.2021,Chris Sabin & James Storm vs. Doc Gallows & Karl Anderson,,Tag Team,5.50,Impact Wrestling,NA,"Chris Sabin, James Storm, Doc Gallows, Karl Anderson"
14.06.2015,Nikki Bella vs. Paige,,Singles,5.50,World Wrestling Entertainment,NA,"Nikki Bella, Paige"
20.02.2021,Akito & Kazuki Hirata vs. Danshoku Dino & Sanshiro Takagi,,Tag Team,5.50,DDT Pro Wrestling,NA,"Akito, Kazuki Hirata, Danshoku Dino, Sanshiro Takagi"
21.02.2021,"Bea Priestley, Natsuko Tora & Saki Kashima vs. Giulia, Natsupoi & Syuri",,Six Man Tag Team,5.50,World Wonder Ring Stardom,NA,"Bea Priestley, Natsuko Tora, Saki Kashima, Giulia, Natsupoi, Syuri"
27.02.2021,"AZM, Momo Watanabe & Saya Kamitani vs. Himeka, Maika & Natsupoi vs. Konami , Natsuko Tora & Saki Kashima",,Three Way Elimination Nine Man Tag Team,5.50,World Wonder Ring Stardom,NA,"AZM, Momo Watanabe, Saya Kamitani, Himeka, Maika, Natsupoi, Konami, Natsuko Tora, Saki Kashima"
02.03.2021,Brian Myers vs. Eddie Edwards,,Singles,5.50,Impact Wrestling,NA,"Brian Myers, Eddie Edwards"
02.03.2021,Deonna Purrazzo vs. Jordynne Grace vs. Kiera Hogan,,Three Way,5.50,Impact Wrestling,NA,"Deonna Purrazzo, Jordynne Grace, Kiera Hogan"
05.03.2021,Dalton Castle vs. Josh Woods,,Pure Rules,5.50,Ring Of Honor,NA,"Dalton Castle, Josh Woods"
03.03.2021,Joey Janela & Sonny Kiss vs. Ortiz  & Santana   ,,Tag Team,5.50,All Elite Wrestling,NA,"Joey Janela, Sonny Kiss, Ortiz, Santana"
12.03.2021,Dak Draper vs. Fred Yehi,,Pure Rules,5.50,Ring Of Honor,NA,"Dak Draper, Fred Yehi"
17.03.2021,Brian Pillman Jr. vs. Lio Rush,,Singles,5.50,Major League Wrestling,NA,"Brian Pillman Jr., Lio Rush"
19.03.2021,Hideki Okatani vs. Konosuke Takeshita,,Singles,5.50,DDT Pro Wrestling,NA,"Hideki Okatani, Konosuke Takeshita"
31.03.2021,Santos Escobar vs. Tyler Breeze,,Singles,5.50,World Wrestling Entertainment,NA,"Santos Escobar, Tyler Breeze"
03.04.2021,Danshoku Dino vs. Hideki Okatani,,Singles,5.50,DDT Pro Wrestling,NA,"Danshoku Dino, Hideki Okatani"
18.04.2021,Hideki Okatani & Toi Kojima vs. Toru Owashi & Yuki Ino,,Tag Team,5.50,DDT Pro Wrestling,NA,"Hideki Okatani, Toi Kojima, Toru Owashi, Yuki Ino"
21.04.2021,Bu Ku Dao vs. TJP,,Singles,5.50,Major League Wrestling,NA,"Bu Ku Dao, TJP"
24.04.2021,Koji Doi vs. Shinjiro Otani,,Singles,5.50,All Japan Pro Wrestling,NA,"Koji Doi, Shinjiro Otani"
18.05.1997,Dean Malenko vs. Jeff Jarrett,,Singles,5.50,World Championship Wrestling,NA,"Dean Malenko, Jeff Jarrett"
15.05.2021,Black Taurus vs. Brian Myers,,Singles,5.50,Impact Wrestling,NA,"Black Taurus, Brian Myers"
27.05.2021,Fallah Bahh & TJP vs. Josh Alexander & Petey Williams,,Tag Team,5.50,Impact Wrestling,NA,"Fallah Bahh, TJP, Josh Alexander, Petey Williams"
26.05.2021,Keiichi Sato vs. TiiiDA,,Singles,5.50,GLEAT,NA,"Keiichi Sato, TiiiDA"
29.05.2021,"Kazusada Higuchi, Saki Akai & Yukio Sakaguchi vs. Keigo Nakamura, Makoto Oishi & Yusuke Okada",,Six Man Tag Team,5.50,DDT Pro Wrestling,NA,"Kazusada Higuchi, Saki Akai, Yukio Sakaguchi, Keigo Nakamura, Makoto Oishi, Yusuke Okada"
29.05.2021,Soma Takao vs. Yukio Naya,,Singles,5.50,DDT Pro Wrestling,NA,"Soma Takao, Yukio Naya"
30.05.2021,"Akito, Antonio Honda & Sanshiro Takagi vs. Kazusada Higuchi, Saki Akai & Yukio Sakaguchi",,Six Man Tag Team,5.50,DDT Pro Wrestling,NA,"Akito, Antonio Honda, Sanshiro Takagi, Kazusada Higuchi, Saki Akai, Yukio Sakaguchi"
05.06.2021,Maika vs. Mina Shirakawa vs. Saki Kashima,,Three Way,5.50,World Wonder Ring Stardom,NA,"Maika, Mina Shirakawa, Saki Kashima"
05.06.2021,"Giulia, Natsupoi & Syuri vs. Konami , Natsuko Tora & Ruaka",,Six Man Tag Team,5.50,World Wonder Ring Stardom,NA,"Giulia, Natsupoi, Syuri, Konami, Natsuko Tora, Ruaka"
06.06.2021,AZM vs. Koguma vs. Ruaka,,Three Way,5.50,World Wonder Ring Stardom,NA,"AZM, Koguma, Ruaka"
12.06.2021,Black Taurus & Crazzy Steve vs. Deaner & Rhino,,Tag Team,5.50,Impact Wrestling,NA,"Black Taurus, Crazzy Steve, Deaner, Rhino"
13.06.2021,Kazuyuki Fujita vs. Manabu Soya,,Singles,5.50,Pro Wrestling NOAH,NA,"Kazuyuki Fujita, Manabu Soya"
11.06.2021,Dak Draper vs. Eli Isom,,Singles,5.50,Ring Of Honor,NA,"Dak Draper, Eli Isom"
24.06.2021,Petey Williams & Trey Miguel vs. Rohit Raju & Shera,,Tag Team,5.50,Impact Wrestling,NA,"Petey Williams, Trey Miguel, Rohit Raju, Shera"
09.07.2021,Baron Corbin vs. King Nakamura,,Singles,5.50,World Wrestling Entertainment,NA,"Baron Corbin, King Nakamura"
11.07.2021,El Desperado & Yoshinobu Kanemaru vs. SHO & Yuya Uemura,,Tag Team,5.50,New Japan Pro Wrestling,NA,"El Desperado, Yoshinobu Kanemaru, SHO, Yuya Uemura"
17.07.2021,Mina Shirakawa vs. Unagi Sayaka,,Singles,5.50,World Wonder Ring Stardom,NA,"Mina Shirakawa, Unagi Sayaka"
16.02.2020,DASH Chisako & Meiko Satomura vs. Natsumi Maki & Sareee,,Tag Team,6.00,Sendai Girls' Pro Wrestling,NA,"DASH Chisako, Meiko Satomura, Natsumi Maki, Sareee"
25.01.2021,John Morrison vs. Sheamus,,Singles,6.00,World Wrestling Entertainment,NA,"John Morrison, Sheamus"
18.11.2001,Al Snow vs. Christian,,Singles,6.00,World Wrestling Federation,NA,"Al Snow, Christian"
02.02.2021,El Phantasmo & Taiji Ishimori vs. Ryusuke Taguchi & Yuya Uemura,,Tag Team,6.00,New Japan Pro Wrestling,NA,"El Phantasmo, Taiji Ishimori, Ryusuke Taguchi, Yuya Uemura"
02.02.2021,Gabriel Kidd vs. Yota Tsuji,,Singles,6.00,New Japan Pro Wrestling,NA,"Gabriel Kidd, Yota Tsuji"
02.02.2021,"EVIL, Jay White, Tama Tonga, Tanga Loa & Yujiro Takahashi vs. Hirooki Goto, Kazuchika Okada, Tomohiro Ishii, Toru Yano & YOSHI-HASHI",,Ten Man Tag Team Elimination,6.00,New Japan Pro Wrestling,NA,"EVIL, Jay White, Tama Tonga, Tanga Loa, Yujiro Takahashi, Hirooki Goto, Kazuchika Okada, Tomohiro Ishii, Toru Yano, YOSHI-HASHI"
10.08.2002,Brock Lesnar vs. The Rock vs. Triple H,,No Disqualification Triple Threat,6.00,World Wrestling Entertainment,NA,"Brock Lesnar, The Rock, Triple H"
11.02.2021,AZM vs. Unagi Sayaka,,Singles,6.00,World Wonder Ring Stardom,NA,"AZM, Unagi Sayaka"
12.02.2021,LSG vs. Tony Deppen,,Singles,6.00,Ring Of Honor,NA,"LSG, Tony Deppen"
20.02.2021,"Hikari Noa, Mirai Maiumi, Sena Shiori & Suzume vs. Hyper Misao, Maki Ito, Miyu Yamashita & Shoko Nakajima",,Eight Man Tag Team,6.00,Tokyo Joshi Pro-Wrestling,NA,"Hikari Noa, Mirai Maiumi, Sena Shiori, Suzume, Hyper Misao, Maki Ito, Miyu Yamashita, Shoko Nakajima"
17.02.2021,"Ashante Adonis, Curt Stallion, Jake Atlas & Mansoor vs. Chase Parker, Matt Martel , Samir Singh & Sunil Singh",,Eight Man Tag Team,6.00,World Wrestling Entertainment,NA,"Ashante Adonis, Curt Stallion, Jake Atlas, Mansoor, Chase Parker, Matt Martel, Samir Singh, Sunil Singh"
19.02.2021,Bateman  vs. Mike Bennett,,Singles,6.00,Ring Of Honor,NA,"Bateman, Mike Bennett"
23.02.2021,Deaner vs. Jake Something,,Tables,6.00,Impact Wrestling,NA,"Deaner, Jake Something"
23.02.2021,"Konami , Natsuko Tora & Saki Kashima vs. Mayu Iwatani, Saya Iida & Starlight Kid",,Six Man Tag Team,6.00,World Wonder Ring Stardom,NA,"Konami, Natsuko Tora, Saki Kashima, Mayu Iwatani, Saya Iida, Starlight Kid"
03.03.2021,Jacob Fatu vs. Jordan Oliver,,Singles,6.00,Major League Wrestling,NA,"Jacob Fatu, Jordan Oliver"
06.03.2021,H.Y.O vs. Keisuke Okuda,,Singles,6.00,Dragongate Japan Pro-Wrestling,NA,"H.Y.O, Keisuke Okuda"
28.02.2021,Bea Priestley & Konami  vs. Himeka & Natsupoi,,Tag Team,6.00,World Wonder Ring Stardom,NA,"Bea Priestley, Konami, Himeka, Natsupoi"
06.03.2021,Akira Francesco vs. Rising HAYATO,,Singles,6.00,All Japan Pro Wrestling,NA,"Akira Francesco, Rising HAYATO"
12.03.2021,"Antonio Honda, HARASHIMA & Yasu Urano vs. Soma Takao, Tetsuya Endo & Trans Am Hiroshi",,Six Man Tag Team,6.00,DDT Pro Wrestling,NA,"Antonio Honda, HARASHIMA, Yasu Urano, Soma Takao, Tetsuya Endo, Trans Am Hiroshi"
12.03.2021,Kenny King vs. Tony Deppen,,Singles,6.00,Ring Of Honor,NA,"Kenny King, Tony Deppen"
12.03.2021,Flamita vs. Flip Gordon,,Singles,6.00,Ring Of Honor,NA,"Flamita, Flip Gordon"
15.03.2021,Mustafa Ali vs. Riddle,,Singles,6.00,World Wrestling Entertainment,NA,"Mustafa Ali, Riddle"
16.03.2021,"Gabriel Kidd, Yota Tsuji & Yuya Uemura vs. Hiroyoshi Tenzan, Satoshi Kojima & Yuji Nagata",,Six Man Tag Team,6.00,New Japan Pro Wrestling,NA,"Gabriel Kidd, Yota Tsuji, Yuya Uemura, Hiroyoshi Tenzan, Satoshi Kojima, Yuji Nagata"
14.03.2021,Bea Priestley & Konami  vs. Momo Watanabe & Saya Kamitani,,Tag Team,6.00,World Wonder Ring Stardom,NA,"Bea Priestley, Konami, Momo Watanabe, Saya Kamitani"
16.03.2021,Black Taurus vs. Luster The Legend,,Tag Team,6.00,Impact Wrestling,NA,"Black Taurus, Luster The Legend"
14.03.2021,"Gokigen Death, Mayu Iwatani & Starlight Kid vs. Natsuko Tora, Ruaka & Saki Kashima",,Six Man Tag Team,6.00,World Wonder Ring Stardom,NA,"Gokigen Death, Mayu Iwatani, Starlight Kid, Natsuko Tora, Ruaka, Saki Kashima"
17.03.2021,Ayame Sasamura & Kaho Kobayashi vs. Hiroyo Matsumoto & Itsuki Aoki,,Tag Team,6.00,SEAdLINNNG,NA,"Ayame Sasamura, Kaho Kobayashi, Hiroyo Matsumoto, Itsuki Aoki"
21.03.2021,"Atsushi Kotoge, Kai Fujimura & Yasutaka Yano vs. Hao, Nio & Tadasuke",,Six Man Tag Team,6.00,Pro Wrestling NOAH,NA,"Atsushi Kotoge, Kai Fujimura, Yasutaka Yano, Hao, Nio, Tadasuke"
21.03.2021,Hajime Ohara vs. Yuya Susumu,,Singles,6.00,Pro Wrestling NOAH,NA,"Hajime Ohara, Yuya Susumu"
21.03.2021,CIMA vs. Izanagi,,Singles,6.00,All Japan Pro Wrestling,NA,"CIMA, Izanagi"
20.03.2021,Leyla Hirsch vs. Masha Slamovich,,Singles,6.00,Mission Pro Wrestling,NA,"Leyla Hirsch, Masha Slamovich"
21.03.2021,"Arisu Endo, Nodoka Tenma & Yuki Aino vs. Hyper Misao, Marika Kobashi & Raku",,Six Man Tag Team,6.00,Tokyo Joshi Pro-Wrestling,NA,"Arisu Endo, Nodoka Tenma, Yuki Aino, Hyper Misao, Marika Kobashi, Raku"
