date,match,WON,type,rating,promotion,event,participants
17.08.2021,Chris Bey & Hikuleo vs. David Finlay & Juice Robinson,,Tag Team,6.19,Impact Wrestling,NA,"Chris Bey, Hikuleo, David Finlay, Juice Robinson"
24.11.2021,Bryan Danielson vs. Colt Cabana,,Singles,6.19,All Elite Wrestling,NA,"Bryan Danielson, Colt Cabana"
27.01.2022,"Charlie Dempsey, Rohan Raja & Teoman vs. Joe Coffey, Mark Coffey & Wolfgang",,Six Man Tag Team,6.19,World Wrestling Entertainment,NA,"Charlie Dempsey, Rohan Raja, Teoman, Joe Coffey, Mark Coffey, Wolfgang"
23.11.1990,Mr. Perfect vs. The Big Boss Man,***3/4,Singles,6.19,World Wrestling Federation,WWF The Main Event IV,"Mr. Perfect, The Big Boss Man"
09.12.2001,Chris Jericho vs. Steve Austin,***1/4,Singles,6.19,World Wrestling Federation,WWF Vengeance 2001,"Chris Jericho, Steve Austin"
11.02.1996,Randy Savage vs. Ric Flair,***1/2,Steel Cage,6.19,World Championship Wrestling,WCW SuperBrawl VI,"Randy Savage, Ric Flair"
21.08.1997,Chris Jericho vs. Eddie Guerrero,***1/4,Singles,6.19,World Championship Wrestling,WCW Clash Of The Champions #35,"Chris Jericho, Eddie Guerrero"
07.04.2013,Brock Lesnar vs. Triple H,**1/2,No Holds Barred,6.19,World Wrestling Entertainment,WWE WrestleMania XXIX,"Brock Lesnar, Triple H"
19.07.2015,Randy Orton vs. Sheamus,***1/2,Singles,6.19,World Wrestling Entertainment,WWE Battleground 2015,"Randy Orton, Sheamus"
09.10.2017,Hanson & Raymond Rowe vs. Davey Boy Smith Jr. & Lance Archer vs. Tama Tonga & Tanga Loa,***1/4,Three Way Tag Team Elimination,6.19,New Japan Pro Wrestling,NJPW King Of Pro-Wrestling 2017,"Davey Boy Smith Jr., Lance Archer, Hanson, Raymond Rowe, Tama Tonga, Tanga Loa"
01.09.2018,Flip Gordon vs. Jay Lethal,***1/2,Singles,6.19,Wrestling In The USA - Freelance Shows,"ALL IN - ""The Biggest Independent Wrestling Show Ever""","Flip Gordon, Jay Lethal"
21.08.2021,Charlotte Flair vs. Nikki ASH vs. Rhea Ripley,***3/4,Triple Threat,6.19,World Wrestling Entertainment,WWE SummerSlam 2021,"Charlotte Flair, Nikki ASH, Rhea Ripley"
22.09.2021,Eddie Kingston & Jon Moxley vs. Lance Archer & Minoru Suzuki,****,Lights Out Tag Team,6.19,All Elite Wrestling,AEW Rampage #7+8 - Grand Slam,"Eddie Kingston, Jon Moxley, Lance Archer, Minoru Suzuki"
22.06.2007,Claudio Castagnoli & Matt Sydal vs. Jay Briscoe & Mark Briscoe,,Best Two Out Of Three Falls Tag Team,6.18,Ring Of Honor,NA,"Claudio Castagnoli, Matt Sydal, Jay Briscoe, Mark Briscoe"
06.04.2014,Alberto Del Rio vs. Big E vs. Brad Maddox vs. Brodus Clay vs. Cesaro vs. Cody Rhodes vs. Damien Sandow vs. Darren Young vs. David Otunga vs. Dolph Ziggler vs. Drew McIntyre vs. Fandango vs. Goldust vs. Heath Slater vs. Jinder Mahal vs. Justin Gabriel vs. Kofi Kingston vs. Mark Henry vs. R-Truth vs. Rey Mysterio vs. Santino Marella vs. Sheamus vs. Sin Cara  vs. The Big Show vs. The Great Khali vs. The Miz vs. Titus O'Neil vs. Tyson Kidd vs. Xavier Woods vs. Yoshi Tatsu vs. Zack Ryder,,Battle Royal,6.18,World Wrestling Entertainment,NA,"Alberto Del Rio, Big E, Brad Maddox, Brodus Clay, Cesaro, Cody Rhodes, Damien Sandow, Darren Young, David Otunga, Dolph Ziggler, Drew McIntyre, Fandango, Goldust, Heath Slater, Jinder Mahal, Justin Gabriel, Kofi Kingston, Mark Henry, R-Truth, Rey Mysterio, Santino Marella, Sheamus, Sin Cara, The Big Show, The Great Khali, The Miz, Titus O'Neil, Tyson Kidd, Xavier Woods, Yoshi Tatsu, Zack Ryder"
02.10.2019,"Chris Jericho, Ortiz  & Santana    vs. Kenny Omega, Matt Jackson & Nick Jackson",,Six Man Tag Team,6.18,All Elite Wrestling,NA,"Chris Jericho, Ortiz, Santana, Kenny Omega, Matt Jackson, Nick Jackson"
24.11.1993,"Crush, Jacques, Ludvig Borga & Yokozuna vs. Lex Luger, Rick Steiner, Scott Steiner & The Undertaker",,Survivor Series Elimination Eight Man Tag Team,6.18,World Wrestling Federation,NA,"Crush, Jacques, Ludvig Borga, Yokozuna, Lex Luger, Rick Steiner, Scott Steiner, The Undertaker"
26.07.2012,Jinder Mahal vs. Seth Rollins,,Singles,6.18,World Wrestling Entertainment,NA,"Jinder Mahal, Seth Rollins"
15.10.2020,"Daisuke Sekimoto, Jun Akiyama & Shuhei Taniguchi vs. Kazuyuki Fujita, Kendo Kashin & Takashi Sugiura",,Six Man Tag Team,6.18,GLEAT,NA,"Daisuke Sekimoto, Jun Akiyama, Shuhei Taniguchi, Kazuyuki Fujita, Kendo Kashin, Takashi Sugiura"
15.11.2020,Bea Priestley vs. Syuri,,Singles,6.18,World Wonder Ring Stardom,NA,"Bea Priestley, Syuri"
22.11.2020,Taichi & Zack Sabre Jr. vs. Tama Tonga & Tanga Loa,,Tag Team,6.18,New Japan Pro Wrestling,NA,"Taichi, Zack Sabre Jr., Tama Tonga, Tanga Loa"
28.12.2020,Keith Lee vs. Sheamus,,Singles,6.18,World Wrestling Entertainment,NA,"Keith Lee, Sheamus"
03.03.2021,Cody Rhodes & Red Velvet vs. Jade Cargill & Shaq,,Mixed Tag Team,6.18,All Elite Wrestling,NA,"Cody Rhodes, Red Velvet, Jade Cargill, Shaq"
17.04.2021,"Haruna Neko, Mahiro Kiryu & Yuna Manase vs. Miu Watanabe, Pom Harajuku & Raku",,Six Man Tag Team,6.18,Tokyo Joshi Pro-Wrestling,NA,"Haruna Neko, Mahiro Kiryu, Yuna Manase, Miu Watanabe, Pom Harajuku, Raku"
14.06.2021,"BUSHI, SANADA, Shingo Takagi & Tetsuya Naito vs. El Desperado, Taichi, Yoshinobu Kanemaru & Zack Sabre Jr.",,Eight Man Tag Team,6.18,New Japan Pro Wrestling,NA,"BUSHI, SANADA, Shingo Takagi, Tetsuya Naito, El Desperado, Taichi, Yoshinobu Kanemaru, Zack Sabre Jr."
04.07.2021,Mina Shirakawa vs. Unagi Sayaka,,Singles,6.18,World Wonder Ring Stardom,NA,"Mina Shirakawa, Unagi Sayaka"
11.07.2021,"HAYATA, Seiki Yoshioka & Yuya Susumu vs. Ikuto Hidaka, NOSAWA Rongai & YO-HEY",,Six Man Tag Team,6.18,Pro Wrestling NOAH,NA,"HAYATA, Seiki Yoshioka, Yuya Susumu, Ikuto Hidaka, NOSAWA Rongai, YO-HEY"
25.07.2021,CIMA & Shigehiro Irie vs. Daijiro Matsui & Minoru Tanaka,,Tag Team,6.18,GLEAT,NA,"CIMA, Shigehiro Irie, Daijiro Matsui, Minoru Tanaka"
29.08.2021,Lady C vs. Mayu Iwatani,,Singles,6.18,World Wonder Ring Stardom,NA,"Lady C, Mayu Iwatani"
17.09.2021,Chris Dickinson vs. Jacob Fatu,,Singles,6.18,Game Changer Wrestling,NA,"Chris Dickinson, Jacob Fatu"
17.08.2021,Doc Gallows & Karl Anderson vs. Rich Swann & Willie Mack,,Tag Team,6.18,Impact Wrestling,NA,"Doc Gallows, Karl Anderson, Rich Swann, Willie Mack"
08.01.2022,"Maika, MIRAI & Syuri vs. Mai Sakurai, Mina Shirakawa & Waka Tsukiyama",,Six Man Tag Team,6.18,World Wonder Ring Stardom,NA,"Maika, MIRAI, Syuri, Mai Sakurai, Mina Shirakawa, Waka Tsukiyama"
24.03.2021,Dakota Kai & Raquel Gonzalez vs. Io Shirai & Zoey Stark,,Tag Team,6.23,World Wrestling Entertainment,NA,"Dakota Kai, Raquel Gonzalez, Io Shirai, Zoey Stark"
31.05.2021,Keiji Muto & Masato Tanaka vs. Masakatsu Funaki & Naomichi Marufuji,,Tag Team,6.23,Pro Wrestling NOAH,NA,"Keiji Muto, Masato Tanaka, Masakatsu Funaki, Naomichi Marufuji"
14.07.2021,Christian Cage vs. Matt Hardy,,Singles,6.23,All Elite Wrestling,NA,"Christian Cage, Matt Hardy"
20.08.2021,Jey Uso vs. Rey Mysterio,,Singles,6.23,World Wrestling Entertainment,NA,"Jey Uso, Rey Mysterio"
20.08.2021,Jonathan Gresham vs. Rhett Titus,,Singles,6.23,Ring Of Honor,NA,"Jonathan Gresham, Rhett Titus"
27.08.2021,Bianca Belair vs. Carmella vs. Liv Morgan vs. Zelina Vega,,Fatal Four Way Elimination,6.23,World Wrestling Entertainment,NA,"Bianca Belair, Carmella, Liv Morgan, Zelina Vega"
04.10.2021,Big E & Drew McIntyre vs. Dolph Ziggler & Robert Roode,,Tag Team,6.23,World Wrestling Entertainment,NA,"Big E, Drew McIntyre, Dolph Ziggler, Robert Roode"
06.11.2021,Momo Watanabe vs. Saki Kashima,,Singles,6.23,World Wonder Ring Stardom,NA,"Momo Watanabe, Saki Kashima"
15.11.2021,Angelo Dawkins & Montez Ford vs. Chad Gable & Otis,,Tag Team,6.23,World Wrestling Entertainment,NA,"Angelo Dawkins, Montez Ford, Chad Gable, Otis"
21.11.2021,"Himeka, Natsupoi & Syuri vs. Mai Sakurai, Tam Nakano & Unagi Sayaka",,Six Man Tag Team,6.23,World Wonder Ring Stardom,NA,"Himeka, Natsupoi, Syuri, Mai Sakurai, Tam Nakano, Unagi Sayaka"
15.12.2021,Dante Martin vs. MJF,,Singles,6.23,All Elite Wrestling,NA,"Dante Martin, MJF"
27.05.1989,Arn Anderson & Tully Blanchard vs. Ax & Smash,***1/4,Tag Team,6.23,World Wrestling Federation,WWF Saturday Night's Main Event #21,"Arn Anderson, Tully Blanchard, Ax, Smash"
19.04.1997,Mitsuharu Misawa vs. Toshiaki Kawada,***3/4,Singles,6.23,All Japan Pro Wrestling,AJPW Champion Carnival 1997 - Tag 21,"Mitsuharu Misawa, Toshiaki Kawada"
11.12.2011,Jeff Hardy vs. Jeff Jarrett,***1/4,Steel Cage,6.23,Total Nonstop Action Wrestling,TNA Final Resolution 2011,"Jeff Hardy, Jeff Jarrett"
04.08.2013,Shelton Benjamin vs. Yuji Nagata,***1/4,Singles,6.23,New Japan Pro Wrestling,NJPW G1 Climax 23 - Tag 4,"Shelton Benjamin, Yuji Nagata"
31.01.2015,Awesome Kong  vs. Gail Kim vs. Taryn Terrell,***1/4,Three Way,6.23,Total Nonstop Action Wrestling,IMPACT Wrestling #557,"Awesome Kong, Gail Kim, Taryn Terrell"
25.03.2018,Chuckie T & Toru Yano vs. Davey Boy Smith Jr. & Lance Archer,***1/4,Tag Team,6.23,New Japan Pro Wrestling,NJPW Strong Style Evolved,"Chuckie T, Toru Yano, Davey Boy Smith Jr., Lance Archer"
28.07.2007,"Austin Aries, Bryan Danielson, Jay Briscoe & Matt Sydal vs. Delirious, Mark Briscoe, Nigel McGuinness & Roderick Strong",,Eight Man Tag Team,6.22,Ring Of Honor,NA,"Austin Aries, Bryan Danielson, Jay Briscoe, Matt Sydal, Delirious, Mark Briscoe, Nigel McGuinness, Roderick Strong"
